millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15686,1,26.64,24.60,62.04,52.80,101.15,195.16,7.00,11.00,0.02
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15729,1,26.48,25.20,63.50,51.40,76.15,954.84,23.54,15.11,0.04
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15679,1,26.29,25.50,63.89,49.50,76.15,1032.26,24.44,14.73,0.04
79117,1,26.16,25.50,63.37,48.60,101.15,1175.81,26.57,14.71,0.04
142622,1,26.05,25.30,63.56,50.00,101.15,1206.45,27.02,13.02,0.04
206132,1,26.12,25.00,63.34,48.60,101.16,1148.39,26.79,13.66,0.04
269552,1,26.27,24.70,63.00,50.30,101.15,1162.90,26.57,12.71,0.04
333054,1,26.30,24.60,62.73,50.80,101.16,1106.45,25.01,12.61,0.03
396579,1,26.41,24.40,62.56,51.20,101.16,1072.58,24.23,12.56,0.03
460087,1,26.30,24.40,62.82,51.50,101.15,1127.42,24.46,11.92,0.03
523707,1,26.37,24.40,62.73,51.60,101.16,1162.90,26.24,11.97,0.03
587130,1,26.41,24.30,62.63,51.60,101.16,1141.94,25.13,11.18,0.03
650644,1,26.50,24.40,62.71,51.90,101.16,1227.42,24.81,9.85,0.03
714164,1,26.64,24.70,62.65,51.30,101.16,1312.90,27.04,10.21,0.03
777683,1,26.87,24.70,61.85,51.10,101.16,1141.94,22.80,10.44,0.03
841305,1,27.09,24.60,61.49,51.10,101.16,1127.42,23.02,12.39,0.03
904830,1,27.16,24.60,61.10,51.10,101.16,1232.26,19.82,6.63,0.02
968358,1,27.23,24.60,60.80,51.20,101.16,1300.00,24.71,9.47,0.03
1031789,1,27.05,24.40,60.65,51.40,101.16,1269.35,26.48,12.11,0.04
1095321,1,27.09,24.70,61.39,51.60,101.17,1274.19,26.15,11.37,0.03
1158851,1,27.04,24.90,61.18,52.20,101.17,1395.16,25.95,9.61,0.03
1222291,1,26.89,25.10,60.99,50.90,101.17,1235.48,23.15,8.37,0.03
1285707,1,26.93,25.30,62.64,51.40,101.17,1117.74,21.69,10.65,0.03
1349143,1,26.89,25.00,61.81,50.80,101.17,1124.19,27.01,14.61,0.04
1412555,1,26.87,24.80,61.40,50.30,101.17,1230.65,28.69,15.28,0.04
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15642,1,26.87,24.20,66.43,44.70,76.15,1587.10,-49.69,-74.86,-0.13
