design,plant,height,site,x-spacing,num-in-row,x-margin,x-centre-first,x-centre-last,y-spacing,num-rows,y-margin,y-centre-first,y-centre-last,y-row-end
1,rocket,150,short,250,4,100,2025,2775,250,1,125,125,125,250
1,lettuce - cos (little gem),200,short,200,6,0,1900,2900,250,1,125,375,375,500
1,strawberries,200,short,300,4,0,1950,2850,300,1,150,650,650,800
1,pak choi - autumn,250,short,250,4,100,2025,2775,250,1,125,925,925,1050
1,cabbage - spring,300,short,450,2,150,2175,2625,450,1,225,1275,1275,1500
1,carrot - chantenay,300,short,30,40,0,1815,2985,250,1,125,1625,1625,1750
1,carrot,300,short,30,40,0,1815,2985,250,1,125,1875,1875,2000
1,spring onions,300,short,250,4,100,2025,2775,250,1,125,2125,2125,2250
1,kohl rabi,350,short,300,4,0,1950,2850,300,1,150,2400,2400,2550
1,cabbage - red,400,short,300,4,0,1950,2850,300,1,150,2700,2700,2850
1,celery,450,short,300,4,0,1950,2850,300,1,150,3000,3000,3150
1,courgette,450,short,1000,1,100,2400,2400,1000,1,500,3650,3650,4150
1,french beans (dwarf),450,short,150,8,0,1875,2925,400,1,200,4350,4350,4550
1,leeks - summer/autumn,450,short,250,4,100,2025,2775,300,1,150,4700,4700,4850
1,leeks - winter,450,short,300,4,0,1950,2850,450,1,225,5075,5075,5300
1,leeks - winter (2),450,short,300,4,0,1950,2850,450,1,225,5525,5525,5750
1,onion - white,450,tall,100,12,0,50,1150,300,2,150,150,450,600
1,onion - red (winter),450,tall,100,12,0,50,1150,300,1,150,750,750,900
1,parsnips,450,tall,150,8,0,75,1125,250,1,125,1025,1025,1150
1,squash,450,tall,600,2,0,300,900,600,1,300,1450,1450,1750
1,chard,500,tall,300,4,0,150,1050,350,2,175,1925,2275,2450
1,spinach - perpetual,500,tall,300,4,0,150,1050,450,1,225,2675,2675,2900
1,brocolli - green sprouting,600,tall,300,4,0,150,1050,450,1,225,3125,3125,3350
1,cauliflower,600,tall,600,2,0,300,900,600,2,300,3650,4250,4550
1,garlic,600,tall,200,6,0,100,1100,250,1,125,4675,4675,4800
1,kale,700,tall,500,2,100,350,850,500,1,250,5050,5050,5300
1,brocolli - calabrese,900,tall,300,4,0,150,1050,450,1,225,5525,5525,5750
